contractor_raw,normalized_name,ticker,parent_company,relationship,is_public,confidence,reasoning,resolved_at,resolver_model,llm_cache_key,skills_version
"Affinis Freese and Nichols JV,*",Affinis Freese and Nichols JV,,,joint_venture,false,0.85,"Joint venture of Affinis Corp and Freese and Nichols, both privately held engineering consultancies.",2026-09-02 16:09:18,claude-opus-5,c34098b930f7dec54e80ac3ea34cc02969981e02a2bdab173882dc375a4af4b2,sk-5c88474c
Agate Construction Co. Inc.,Agate Construction Co.,,,private,false,0.95,Generic construction company name; no identifiable public contractor parent.,2026-09-02 16:02:10,claude-haiku-4-5,35a2a117772f3a48b0374df162e3e4bc9cc99cf0e035bd85a2a1c61851f91545,sk-5c88474c
"Agate Construction Co. Inc.,*",Agate Construction Co.,,,private,false,0.95,Generic construction company name; no identifiable public contractor parent.,2026-09-02 16:02:10,claude-haiku-4-5,35a2a117772f3a48b0374df162e3e4bc9cc99cf0e035bd85a2a1c61851f91545,sk-5c88474c
"Agrippa Industries Inc.,*",Agrippa Industries,,,private,false,0.95,Small business manufacturer or supplier with no evident public parent.,2026-09-02 16:02:10,claude-haiku-4-5,35a2a117772f3a48b0374df162e3e4bc9cc99cf0e035bd85a2a1c61851f91545,sk-5c88474c
Ahntech Inc.,Ahntech Inc.,,,private,false,0.85,Small technical services firm; no public company match in industry databases; typical DoD small-business contractor below public-company visibility threshold.,2026-09-02 16:02:24,claude-haiku-4-5,1a961807ad527721e79b6ba794fe0850908a0ec3889446a7a5792bbc3bd5c229,sk-5c88474c
Airbus Helicopters Inc.,Airbus Helicopters,AIR,Airbus SE,subsidiary,true,0.95,"Airbus Helicopters Inc. is the U.S. arm of Airbus Helicopters, a division of Airbus SE listed on Euronext Paris as AIR.",2026-09-02 16:09:18,claude-opus-5,c34098b930f7dec54e80ac3ea34cc02969981e02a2bdab173882dc375a4af4b2,sk-5c88474c
Akima Facilities Operations LLC,Akima Facilities Operations LLC,,,private,false,0.82,Akima is a private defense contractor providing facilities and logistics support; not a publicly traded company despite DoD presence.,2026-09-02 16:02:24,claude-haiku-4-5,1a961807ad527721e79b6ba794fe0850908a0ec3889446a7a5792bbc3bd5c229,sk-5c88474c
Alabama Shipyard,Alabama Shipyard,,,private,false,0.88,Regional shipbuilding facility; not a major public defense contractor; independent private operation.,2026-09-02 16:02:24,claude-haiku-4-5,1a961807ad527721e79b6ba794fe0850908a0ec3889446a7a5792bbc3bd5c229,sk-5c88474c
Alaska Marine Lines Inc.,Alaska Marine Lines Inc.,,,private,false,0.85,Maritime logistics and transportation provider; remains private despite DoD contract eligibility.,2026-09-02 16:02:24,claude-haiku-4-5,1a961807ad527721e79b6ba794fe0850908a0ec3889446a7a5792bbc3bd5c229,sk-5c88474c
"Aleut Construction LLC,*",Aleut Construction LLC,,,private,false,0.88,Small-business (8a) construction firm; no public company affiliation; typical of construction awardees in DoD announcements.,2026-09-02 16:02:24,claude-haiku-4-5,1a961807ad527721e79b6ba794fe0850908a0ec3889446a7a5792bbc3bd5c229,sk-5c88474c
All American Express Solutions LLC,All American Express Solutions LLC,,,private,false,0.85,Logistics and supply-chain services provider; remains private despite federal contracting activity.,2026-09-02 16:02:24,claude-haiku-4-5,1a961807ad527721e79b6ba794fe0850908a0ec3889446a7a5792bbc3bd5c229,sk-5c88474c
All Points Logistics,All Points Logistics,,,private,false,0.86,Transportation and logistics firm; no recognizable public-company match; typical private contractor.,2026-09-02 16:02:24,claude-haiku-4-5,1a961807ad527721e79b6ba794fe0850908a0ec3889446a7a5792bbc3bd5c229,sk-5c88474c
AllClear Repair Service Inc.,AllClear Repair Service Inc.,,,private,false,0.84,Maintenance and repair services; no public company match; small defense contractor.,2026-09-02 16:02:24,claude-haiku-4-5,1a961807ad527721e79b6ba794fe0850908a0ec3889446a7a5792bbc3bd5c229,sk-5c88474c
Alliant Techsystems Operations LLC,Alliant Techsystems Operations LLC,LHX,L3Harris Technologies Inc.,subsidiary,true,0.72,"ATK acquired by Orbital ATK, later merged into L3Harris in 2023 as Aerojet Rocketdyne; ownership post-cutoff raises confidence cap, now part of LHX.",2026-09-02 16:02:24,claude-haiku-4-5,1a961807ad527721e79b6ba794fe0850908a0ec3889446a7a5792bbc3bd5c229,sk-5c88474c
Allison Transmission Inc.,Allison Transmission,ALSN,Allison Transmission Holdings Inc,subsidiary,true,0.93,Allison Transmission Inc. is the operating subsidiary of NYSE-listed Allison Transmission Holdings (ALSN).,2026-09-02 16:09:18,claude-opus-5,c34098b930f7dec54e80ac3ea34cc02969981e02a2bdab173882dc375a4af4b2,sk-5c88474c
Alloy Surface Co.,Alloy Surface Co.,,,private,false,0.87,Materials and surface-treatment specialist; no public-company affiliation; niche defense supplier.,2026-09-02 16:02:24,claude-haiku-4-5,1a961807ad527721e79b6ba794fe0850908a0ec3889446a7a5792bbc3bd5c229,sk-5c88474c
"Alpha Facilities Solutions LLC,*",Alpha Facilities Solutions LLC,,,private,false,0.86,Facilities management and operations; small-business award; no public company connection.,2026-09-02 16:02:24,claude-haiku-4-5,1a961807ad527721e79b6ba794fe0850908a0ec3889446a7a5792bbc3bd5c229,sk-5c88474c
Alta Enterprises Inc.,Alta Enterprises Inc.,,,private,false,0.84,Engineering or services firm; no recognizable public-company match; typical mid-sized private contractor.,2026-09-02 16:02:24,claude-haiku-4-5,1a961807ad527721e79b6ba794fe0850908a0ec3889446a7a5792bbc3bd5c229,sk-5c88474c
"Altech Inc.,*",Altech Inc.,,,private,false,0.85,Small technical services; small-business marker indicates private firm; no public affiliation.,2026-09-02 16:02:24,claude-haiku-4-5,1a961807ad527721e79b6ba794fe0850908a0ec3889446a7a5792bbc3bd5c229,sk-5c88474c
"Amee Bay LLC,*",Amee Bay LLC,,,private,false,0.88,Small-business regional contractor; no public-company match; typical private DoD awardee.,2026-09-02 16:02:24,claude-haiku-4-5,1a961807ad527721e79b6ba794fe0850908a0ec3889446a7a5792bbc3bd5c229,sk-5c88474c
Amentum Services Inc.,Amentum Services Inc.,,,private,false,0.8,Amentum is a private engineering and technical services firm; owned by EMJ Partners (private equity); not publicly listed.,2026-09-02 16:02:24,claude-haiku-4-5,1a961807ad527721e79b6ba794fe0850908a0ec3889446a7a5792bbc3bd5c229,sk-5c88474c
Amentum Technology Inc.,Amentum Technology Inc.,,,private,false,0.82,Subsidiary or division of Amentum Group; parent is private equity-owned; no public listing.,2026-09-02 16:02:24,claude-haiku-4-5,1a961807ad527721e79b6ba794fe0850908a0ec3889446a7a5792bbc3bd5c229,sk-5c88474c
American Credence Enterprises Inc.,American Credence Enterprises Inc.,,,private,false,0.85,Services contractor; no public-company affiliation; typical small-to-mid-size private defense firm.,2026-09-02 16:02:24,claude-haiku-4-5,1a961807ad527721e79b6ba794fe0850908a0ec3889446a7a5792bbc3bd5c229,sk-5c88474c
American Engineering Corp.,American Engineering Corp.,,,private,false,0.86,Engineering services provider; generic name; no recognizable public-company connection.,2026-09-02 16:02:24,claude-haiku-4-5,1a961807ad527721e79b6ba794fe0850908a0ec3889446a7a5792bbc3bd5c229,sk-5c88474c
"American Material Handling Inc.,*",American Material Handling Inc.,,,private,false,0.87,Materials handling and logistics; small-business award; remains private despite federal work.,2026-09-02 16:02:24,claude-haiku-4-5,1a961807ad527721e79b6ba794fe0850908a0ec3889446a7a5792bbc3bd5c229,sk-5c88474c
American President Lines LLC,American President Lines LLC,,,private,false,0.8,Maritime shipping company; APL was historical but current operations appear private or absorbed; no current public listing.,2026-09-02 16:02:24,claude-haiku-4-5,1a961807ad527721e79b6ba794fe0850908a0ec3889446a7a5792bbc3bd5c229,sk-5c88474c
American Roll-On Roll-Off Carrier LLC,American Roll-On Roll-Off Carrier LLC,,,private,false,0.85,Specialized vehicle transport and logistics; no public-company match; private carrier.,2026-09-02 16:02:24,claude-haiku-4-5,1a961807ad527721e79b6ba794fe0850908a0ec3889446a7a5792bbc3bd5c229,sk-5c88474c
Amerifield LLC,Amerifield LLC,,,private,false,0.86,Small-business logistics or services firm; no public affiliation; typical regional private contractor.,2026-09-02 16:02:24,claude-haiku-4-5,1a961807ad527721e79b6ba794fe0850908a0ec3889446a7a5792bbc3bd5c229,sk-5c88474c
"Amerifield LLC,*",Amerifield LLC,,,private,false,0.86,Small-business logistics or services firm; no public affiliation; typical regional private contractor.,2026-09-02 16:02:24,claude-haiku-4-5,1a961807ad527721e79b6ba794fe0850908a0ec3889446a7a5792bbc3bd5c229,sk-5c88474c
Analog Devices Federal LLC,Analog Devices Federal,ADI,Analog Devices Inc.,subsidiary,true,0.85,"Federal division of Analog Devices Inc., a publicly listed semiconductor company (ADI on NASDAQ).",2026-09-02 16:02:35,claude-haiku-4-5,eacb75e180ac500805933987f1a28c240a53db051d961ecf717f36bc0d786851,sk-5c88474c
"Apex FSE JV LLC,*",Apex FSE JV,,,joint_venture,false,0.85,Small-business joint venture of privately held firms; no public parent identifiable.,2026-09-02 16:09:18,claude-opus-5,c34098b930f7dec54e80ac3ea34cc02969981e02a2bdab173882dc375a4af4b2,sk-5c88474c
"Appledore Marine Engineering,* LLC",Appledore Marine Engineering,,,private,false,0.88,Marine engineering specialist; no recognizable public parent company identified.,2026-09-02 16:02:35,claude-haiku-4-5,eacb75e180ac500805933987f1a28c240a53db051d961ecf717f36bc0d786851,sk-5c88474c
Applied Environmental Inc,Applied Environmental,,,private,false,0.9,Environmental services firm; common name with no identified connection to listed companies.,2026-09-02 16:02:35,claude-haiku-4-5,eacb75e180ac500805933987f1a28c240a53db051d961ecf717f36bc0d786851,sk-5c88474c
"Applied Physical Electronics LC,*",Applied Physical Electronics,,,private,false,0.88,Electronics firm without identifiable public parent or recognizable brand.,2026-09-02 16:02:35,claude-haiku-4-5,eacb75e180ac500805933987f1a28c240a53db051d961ecf717f36bc0d786851,sk-5c88474c
"Applied Technologies Group Inc.,*",Applied Technologies Group,,,private,false,0.88,Generic technology services name with no public company match identified.,2026-09-02 16:02:35,claude-haiku-4-5,eacb75e180ac500805933987f1a28c240a53db051d961ecf717f36bc0d786851,sk-5c88474c
Aptim Federal Services LLC,Aptim Federal Services,,,private,false,0.82,Federal services contractor; Aptim is a private engineering and services firm not listed on major exchanges.,2026-09-02 16:02:35,claude-haiku-4-5,eacb75e180ac500805933987f1a28c240a53db051d961ecf717f36bc0d786851,sk-5c88474c
"Argus Consulting Inc.,*",Argus Consulting,,,private,false,0.88,Consulting firm; common name with no identified public parent.,2026-09-02 16:02:35,claude-haiku-4-5,eacb75e180ac500805933987f1a28c240a53db051d961ecf717f36bc0d786851,sk-5c88474c
"Armitage Architecture Inc.,*",Armitage Architecture,,,private,false,0.9,Architecture firm; typical of small professional services company structure.,2026-09-02 16:02:35,claude-haiku-4-5,eacb75e180ac500805933987f1a28c240a53db051d961ecf717f36bc0d786851,sk-5c88474c
Artisan Consulting Engineers LLC,Artisan Consulting Engineers,,,private,false,0.9,Engineering consulting firm; artisan designation suggests specialized small firm.,2026-09-02 16:02:35,claude-haiku-4-5,eacb75e180ac500805933987f1a28c240a53db051d961ecf717f36bc0d786851,sk-5c88474c
"Athena Engineering & Environmental LLC,*",Athena Engineering & Environmental,,,private,false,0.9,Engineering and environmental services; small private firm with no public company affiliation identified.,2026-09-02 16:02:35,claude-haiku-4-5,eacb75e180ac500805933987f1a28c240a53db051d961ecf717f36bc0d786851,sk-5c88474c
"Atlantic Diving Supply,*",Atlantic Diving Supply,,,private,false,0.9,Atlantic Diving Supply (ADS Inc.) of Virginia Beach is a privately held service-disabled-veteran-owned equipment supplier.,2026-09-02 16:09:18,claude-opus-5,c34098b930f7dec54e80ac3ea34cc02969981e02a2bdab173882dc375a4af4b2,sk-5c88474c
"Atlantic Fabrication & Boiler Services Inc.,*",Atlantic Fabrication & Boiler Services,,,private,false,0.9,Industrial fabrication and boiler services firm; typical small specialized contractor.,2026-09-02 16:02:35,claude-haiku-4-5,eacb75e180ac500805933987f1a28c240a53db051d961ecf717f36bc0d786851,sk-5c88474c
Attalon Inc.,Attalon,,,private,false,0.88,Uncommon company name with no identified connection to public companies or major contractors.,2026-09-02 16:02:35,claude-haiku-4-5,eacb75e180ac500805933987f1a28c240a53db051d961ecf717f36bc0d786851,sk-5c88474c
Austin Brockenbrough & Associates LLC,Austin Brockenbrough & Associates,,,private,false,0.92,Small engineering/consulting firm with no recognizable public parent; typical DoD contractor below the visibility threshold of major primes.,2026-09-02 16:02:47,claude-haiku-4-5,121709fbde8ede1b8d95101896f9ebf85529a01dce81c3431028ef4774b3cb71,sk-5c88474c
"Ava Gov LLC,*",Ava Gov,,,private,false,0.9,Small government services contractor; unrecognized name suggests private small business.,2026-09-02 16:02:47,claude-haiku-4-5,121709fbde8ede1b8d95101896f9ebf85529a01dce81c3431028ef4774b3cb71,sk-5c88474c
Aventis LLC,Aventis,,,private,false,0.88,No match to known public company; likely a private defense services or logistics firm.,2026-09-02 16:02:47,claude-haiku-4-5,121709fbde8ede1b8d95101896f9ebf85529a01dce81c3431028ef4774b3cb71,sk-5c88474c
"Aventus NV Inc.,*",Aventus NV,,,private,false,0.9,Small private contractor; name does not correspond to any recognized public defense contractor.,2026-09-02 16:02:47,claude-haiku-4-5,121709fbde8ede1b8d95101896f9ebf85529a01dce81c3431028ef4774b3cb71,sk-5c88474c
Aviation Ground Equipment,Aviation Ground Equipment,,,private,false,0.88,Appears to be a specialized equipment supplier; no recognizable parent or public-company indicator.,2026-09-02 16:02:47,claude-haiku-4-5,121709fbde8ede1b8d95101896f9ebf85529a01dce81c3431028ef4774b3cb71,sk-5c88474c
Aviation Repair Technologies LLC,Aviation Repair Technologies,,,private,false,0.9,Specialized aviation maintenance contractor; name does not map to any known public prime.,2026-09-02 16:02:47,claude-haiku-4-5,121709fbde8ede1b8d95101896f9ebf85529a01dce81c3431028ef4774b3cb71,sk-5c88474c
"Avion Solutions Inc.,*",Avion Solutions,,,private,false,0.89,Small private contractor with generic name; no recognizable affiliation to a listed company.,2026-09-02 16:02:47,claude-haiku-4-5,121709fbde8ede1b8d95101896f9ebf85529a01dce81c3431028ef4774b3cb71,sk-5c88474c
Avox System Inc.,Avox System,,,private,false,0.88,Specialized aerospace systems supplier; no known public parent.,2026-09-02 16:02:47,claude-haiku-4-5,121709fbde8ede1b8d95101896f9ebf85529a01dce81c3431028ef4774b3cb71,sk-5c88474c
"B&K Construction Co. LLC,*",B&K Construction,,,private,false,0.92,Small regional construction contractor; initials and local focus indicate private ownership.,2026-09-02 16:02:47,claude-haiku-4-5,121709fbde8ede1b8d95101896f9ebf85529a01dce81c3431028ef4774b3cb71,sk-5c88474c
B.C. Schmidt Construction Inc.,B.C. Schmidt Construction,,,private,false,0.92,Eponymous regional construction firm; no public-company affiliation evident.,2026-09-02 16:02:47,claude-haiku-4-5,121709fbde8ede1b8d95101896f9ebf85529a01dce81c3431028ef4774b3cb71,sk-5c88474c
BAE Systems - Jacksonville Ship Repair LLC,BAE Systems - Jacksonville Ship Repair,BA,BAE Systems PLC,subsidiary,true,0.7,"BAE Systems is a major UK-listed defense contractor (LSE: BA), but US DoD awards may route through subsidiaries; resolving to parent with capped confidence due to post-cutoff uncertainty on BAE's US operational structure.",2026-09-02 16:02:47,claude-haiku-4-5,121709fbde8ede1b8d95101896f9ebf85529a01dce81c3431028ef4774b3cb71,sk-5c88474c
BAE Systems Inc.,BAE Systems,BA,BAE Systems PLC,direct,true,0.95,BAE Systems PLC is listed on the London Stock Exchange and is a major DoD contractor.,2026-09-02 16:02:47,claude-haiku-4-5,121709fbde8ede1b8d95101896f9ebf85529a01dce81c3431028ef4774b3cb71,sk-5c88474c
BAE Systems Information and Electronic Systems Integration Inc.,BAE Systems Information and Electronic Systems Integration,BA,BAE Systems PLC,subsidiary,true,0.92,"A known division of BAE Systems PLC, one of the company's primary US operating segments.",2026-09-02 16:02:47,claude-haiku-4-5,121709fbde8ede1b8d95101896f9ebf85529a01dce81c3431028ef4774b3cb71,sk-5c88474c
BAE Systems Land & Armaments L.P,BAE Systems Land & Armaments,BA,BAE Systems PLC,subsidiary,true,0.93,A major division of BAE Systems PLC handling ground combat systems and ammunition.,2026-09-02 16:02:47,claude-haiku-4-5,121709fbde8ede1b8d95101896f9ebf85529a01dce81c3431028ef4774b3cb71,sk-5c88474c
BAE Systems Land & Armaments L.P.,BAE Systems Land & Armaments,BA,BAE Systems PLC,subsidiary,true,0.93,A major division of BAE Systems PLC handling ground combat systems and ammunition.,2026-09-02 16:02:47,claude-haiku-4-5,121709fbde8ede1b8d95101896f9ebf85529a01dce81c3431028ef4774b3cb71,sk-5c88474c
